Source	Cell Type (Clean)	Cell Type	Spearman's Correlation	Pearson's Correlation	Description (e.g. cell type, tissue, system)
Encode	smooth muscle cell	smooth.muscle.cell	0.6298581902	0.823185919	smooth muscle
Encode	spinal cord	spinal.cord	0.5980195414	0.7852353207	central nervous system
Encode	spleen	spleen	0.7519807627	0.8720769213	spleen, lymphatic
Encode	stomach	stomach	0.7625738868	0.8682632874	gastrointestinal, stomach
Encode	suprapubic skin	suprapubic.skin	0.6496731243	0.8087138076	skin
Encode	T cell	T.cell	0.5696264589	0.7261968373	blood, T cell
Encode	testis	testis	0.6612823328	0.8399958758	testis
Encode	thymus	thymus	0.597894322	0.8458462049	lymphatic, epithelial
Encode	thyroid gland	thyroid.gland	0.6747341516	0.8404323648	thyroid, endocrine
Encode	tibial nerve	tibial.nerve	0.7136278303	0.848106072	nerve, central nervous system
Encode	transverse colon	transverse.colon	0.6797550606	0.8096531002	gastrointestinal, colon
Encode	upper lobe of left lung	upper.lobe.of.left.lung	0.6952469154	0.8454354983	lung
Encode	urinary bladder	urinary.bladder	0.7311561286	0.8472800151	bladder
GSE186458	Adipocytes	Adipocytes	0.747661315	0.852473683	adipose
GSE186458	Aorta Endothel	Aorta-Endothel	0.7252390681	0.8317270065	vascular, endothelial, circulatory
GSE186458	Aorta Smooth Muscle	Aorta-Smooth-Muscle	0.7132568493	0.7653893743	vascular, smooth muscle, circulatory
GSE186458	Bladder Epithelial	Bladder-Epithelial	0.7301958319	0.8213237818	bladder, epithelial
GSE186458	Bladder Smooth Muscle	Bladder-Smooth-Muscle	0.7003828281	0.725780901	bladder, smooth muscle
GSE186458	Blood B Mem	Blood-B-Mem	0.7300808081	0.8111423609	blood, B cell
GSE186458	Blood B	Blood-B	0.7162437644	0.8431169113	blood, B cell
GSE186458	Blood Granulocytes	Blood-Granulocytes	0.6716115077	0.8474715288	blood, granulocyte
GSE186458	Blood Monocytes	Blood-Monocytes	0.6539230102	0.8503736926	blood, monocyte
GSE186458	Blood NK	Blood-NK	0.701411895	0.8456794366	blood, NK cell
GSE186458	Blood T CD3	Blood-T-CD3	0.7174509005	0.8388978819	blood, T cell
GSE186458	Blood T CD4	Blood-T-CD4	0.7158063008	0.8465122873	blood, T cell
GSE186458	Blood T CD8	Blood-T-CD8	0.7509016002	0.8311604463	blood, T cell
GSE186458	Blood T CenMem CD4	Blood-T-CenMem-CD4	0.7338883198	0.8359872892	blood, T cell
GSE186458	Blood T Eff CD8	Blood-T-Eff-CD8	0.7444705293	0.8246535175	blood, T cell
GSE186458	Blood T EffMem CD4	Blood-T-EffMem-CD4	0.7580855675	0.8295995426	blood, T cell
